Datum;Gemeindecode;Einwohner;Teilgeimpfte;TeilgeimpftePro100;Vollimmunisierte;VollimmunisiertePro100
2021;10101;14895;11666;78.32158442;10961;73.5884525
2021;10201;2000;1592;79.6;1512;75.6
2021;10301;1883;1506;79.9787573;1444;76.68613914
2021;10302;1841;1505;81.74904943;1424;77.3492667
2021;10303;2122;1672;78.79359095;1591;74.97643732
2021;10304;3176;2517;79.25062972;2365;74.46473552
2021;10305;1223;903;73.83483238;837;68.43826656
2021;10306;1217;1023;84.05916187;952;78.2251438
2021;10307;2228;1801;80.83482944;1714;76.92998205
2021;10308;1384;1123;81.1416185;1069;77.23988439
2021;10309;3587;2758;76.88876498;2631;73.34820184
2021;10310;1738;1451;83.4867664;1393;80.14959724
2021;10311;1271;1072;84.34303698;1023;80.48780488
2021;10312;2899;2344;80.8554674;2236;77.13004484
2021;10313;2683;2186;81.47595975;2080;77.5251584
2021;10314;1417;1151;81.22794637;1088;76.78193366
2021;10315;3118;2405;77.13277742;2287;73.34830019
2021;10316;2932;2289;78.06957708;2133;72.74897681
2021;10317;2067;1716;83.01886792;1607;77.74552492
2021;10318;1702;1242;72.97297297;1144;67.21504113
2021;10319;1982;1520;76.69021191;1435;72.40161453
2021;10320;476;387;81.30252101;370;77.73109244
2021;10321;823;631;76.67071689;600;72.90400972
2021;10322;991;756;76.28657921;724;73.05751766
2021;10323;1101;891;80.92643052;851;77.29336966
2021;10401;815;621;76.19631902;593;72.7607362
2021;10402;1334;966;72.4137931;911;68.29085457
2021;10403;928;731;78.77155172;711;76.61637931
2021;10404;1003;821;81.85443669;778;77.56729811
2021;10405;3665;2916;79.56343793;2794;76.23465211
2021;10406;883;748;84.71121178;715;80.97395243
2021;10407;744;592;79.56989247;569;76.47849462
2021;10408;2009;1471;73.22050772;1381;68.740667
2021;10409;968;760;78.51239669;720;74.38016529
2021;10410;446;357;80.04484305;341;76.4573991
2021;10411;1457;1077;73.91901167;1004;68.90871654
2021;10412;921;735;79.80456026;698;75.78718784
2021;10413;987;749;75.88652482;713;72.23910841
2021;10414;2688;2017;75.03720238;1907;70.94494048
2021;10415;1218;973;79.88505747;923;75.77996716
2021;10416;872;738;84.63302752;705;80.84862385
2021;10417;1342;1068;79.58271237;1014;75.55886736
2021;10418;364;280;76.92307692;259;71.15384615
2021;10419;479;348;72.65135699;328;68.47599165
2021;10420;235;199;84.68085106;190;80.85106383
2021;10421;330;252;76.36363636;244;73.93939394
2021;10422;229;202;88.20960699;199;86.89956332
2021;10423;67;57;85.07462687;54;80.59701493
2021;10424;227;176;77.53303965;165;72.68722467
2021;10425;379;310;81.79419525;290;76.5171504
2021;10426;334;254;76.04790419;245;73.35329341
2021;10427;460;345;75;324;70.43478261
2021;10428;386;296;76.68393782;285;73.83419689
2021;10501;1715;1289;75.16034985;1212;70.67055394
2021;10502;901;679;75.36071032;639;70.92119867
2021;10503;1262;950;75.27733756;898;71.15689382
2021;10504;4121;3060;74.25382189;2894;70.22567338
2021;10505;1065;804;75.49295775;741;69.57746479
2021;10506;1148;851;74.12891986;809;70.47038328
2021;10507;920;668;72.60869565;636;69.13043478
2021;10508;2144;1641;76.5391791;1529;71.31529851
2021;10509;1965;1508;76.74300254;1440;73.28244275
2021;10510;707;548;77.5106082;514;72.70155587
2021;10511;778;576;74.03598972;544;69.92287918
2021;10512;383;320;83.55091384;304;79.37336815
2021;10601;1226;953;77.7324633;902;73.5725938
