date;municipality_id;municipality_name;municipality_population;dose_1;dose_2;dose_3;dose_4;dose_5+;vaccinated_according_to_recommendation;vaccinated_according_to_recommendation_percent
2022;10101;Eisenstadt;15485;12284;12037;9752;2169;18;9889;63.86180174362289
2022;10201;Rust;2008;1644;1622;1356;261;4;1323;65.88645418326689
2022;10301;Breitenbrunn am Neusiedler See;1922;1570;1552;1321;347;2;1340;69.7190426638918
2022;10302;Donnerskirchen;1854;1552;1533;1298;281;0;1303;70.2804746494067
2022;10303;Großhöflein;2099;1793;1759;1441;209;2;1465;69.79514054311579
2022;10304;Hornstein;3245;2621;2584;2131;422;2;2150;66.2557781201849
2022;10305;Klingenbach;1289;953;915;739;126;0;767;59.503491078355296
2022;10306;Leithaprodersdorf;1209;1068;1052;866;127;0;894;73.9454094292804
2022;10307;Mörbisch am See;2210;1903;1872;1562;434;6;1583;71.6289592760181
2022;10308;Müllendorf;1420;1165;1150;955;199;0;969;68.23943661971829
2022;10309;Neufeld an der Leitha;3641;2894;2836;2291;407;1;2348;64.4877780829442
2022;10310;Oggau am Neusiedler See;1726;1522;1507;1296;315;0;1302;75.4345307068366
2022;10311;Oslip;1309;1104;1096;932;206;0;948;72.42169595110771
2022;10312;Purbach am Neusiedler See;2993;2447;2405;2021;396;1;2057;68.7270297360508
2022;10313;Sankt Margarethen im Burgenland;2701;2273;2247;1922;403;4;1951;72.23250647908179
2022;10314;Schützen am Gebirge;1435;1200;1185;975;219;0;995;69.3379790940767
2022;10315;Siegendorf;3243;2537;2490;2025;383;2;2063;63.613937711995106
2022;10316;Steinbrunn;3037;2419;2377;1896;341;2;1944;64.0105367138624
2022;10317;Trausdorf an der Wulka;2109;1789;1763;1504;276;4;1530;72.54623044096729
2022;10318;Wimpassing an der Leitha;1723;1279;1257;1019;141;1;1038;60.24376088218221
2022;10319;Wulkaprodersdorf;1981;1599;1561;1262;211;1;1288;65.017667844523
2022;10320;Loretto;512;398;391;322;52;0;319;62.3046875
2022;10321;Stotzing;830;662;652;543;82;2;550;66.26506024096389
2022;10322;Zillingtal;1007;788;779;668;119;2;677;67.22939424031779
2022;10323;Zagersdorf;1139;926;914;769;159;0;775;68.04214223002629
2022;10401;Bocksdorf;806;648;630;526;78;1;546;67.741935483871
2022;10402;Burgauberg-Neudauberg;1452;1019;995;782;129;0;807;55.5785123966942
2022;10403;Eberau;919;745;734;628;165;1;623;67.791077257889
2022;10404;Gerersdorf-Sulz;1042;846;839;693;170;3;708;67.94625719769671
2022;10405;Güssing;3603;2983;2939;2524;729;4;2518;69.8862059394949
2022;10406;Güttenbach;859;757;752;640;137;0;635;73.92316647264259
2022;10407;Heiligenbrunn;737;596;592;518;102;0;521;70.6919945725916
2022;10408;Kukmirn;2020;1533;1478;1232;253;0;1264;62.574257425742594
2022;10409;Neuberg im Burgenland;948;782;776;641;111;0;661;69.7257383966245
2022;10410;Neustift bei Güssing;444;368;364;306;59;0;311;70.045045045045
2022;10411;Olbendorf;1476;1126;1101;887;148;1;899;60.907859078590796
2022;10412;Ollersdorf im Burgenland;940;757;740;590;97;0;603;64.14893617021279
2022;10413;Sankt Michael im Burgenland;1005;773;761;642;107;1;655;65.1741293532338
2022;10414;Stegersbach;2720;2099;2048;1647;257;0;1691;62.16911764705879
2022;10415;Stinatz;1237;1011;995;798;154;0;835;67.5020210185934
2022;10416;Strem;906;770;757;643;168;0;630;69.5364238410596
2022;10417;Tobaj;1364;1098;1084;912;157;0;938;68.7683284457478
2022;10418;Hackerberg;375;286;279;231;41;0;242;64.5333333333333
2022;10419;Wörterberg;501;363;358;276;53;0;284;56.686626746506995
2022;10420;Großmürbisch;229;198;197;171;49;0;169;73.7991266375546
2022;10421;Inzenhof;330;258;254;214;37;0;214;64.84848484848479
2022;10422;Kleinmürbisch;227;206;201;170;22;0;176;77.5330396475771
2022;10423;Tschanigraben;67;59;56;52;9;0;52;77.6119402985075
2022;10424;Heugraben;226;189;184;153;12;0;155;68.5840707964602
2022;10425;Rohr im Burgenland;365;314;311;259;36;0;271;74.2465753424657
2022;10426;Bildein;337;273;270;220;43;0;221;65.57863501483679
2022;10427;Rauchwart;460;361;355;280;39;0;287;62.3913043478261
2022;10428;Moschendorf;378;305;299;267;56;0;270;71.4285714285714
2022;10501;Deutsch Kaltenbrunn;1766;1343;1314;1077;163;1;1101;62.344280860702106
2022;10502;Eltendorf;916;703;690;565;104;0;578;63.1004366812227
2022;10503;Heiligenkreuz im Lafnitztal;1250;979;964;782;119;0;797;63.76
2022;10504;Jennersdorf;4165;3168;3092;2557;392;1;2606;62.5690276110444
2022;10505;Minihof-Liebau;1054;850;818;646;93;3;686;65.0853889943074
2022;10506;Mogersdorf;1177;891;870;692;100;0;707;60.0679694137638
2022;10507;Neuhaus am Klausenbach;930;680;672;566;91;1;571;61.3978494623656
2022;10508;Rudersdorf;2173;1716;1685;1362;233;0;1407;64.7491946617579
2022;10509;Sankt Martin an der Raab;1956;1559;1534;1287;153;0;1314;67.1779141104295
2022;10510;Weichselbaum;707;554;545;438;46;0;449;63.507779349363496
2022;10511;Königsdorf;765;614;596;484;85;0;501;65.4901960784314
2022;10512;Mühlgraben;376;329;326;253;22;0;260;69.14893617021279
2022;10601;Draßburg;1245;1004;987;835;167;1;828;66.5060240963855
2022;10602;Forchtenstein;2798;2243;2197;1821;311;2;1840;65.7612580414582
2022;10603;Hirm;1055;855;842;646;123;0;658;62.36966824644551
2022;10604;Loipersbach im Burgenland;1220;896;877;701;129;0;722;59.1803278688525
2022;10605;Marz;2086;1713;1679;1375;219;0;1407;67.4496644295302
2022;10606;Mattersburg;7560;6041;5924;4680;831;3;4757;62.9232804232804
2022;10607;Neudörfl;4923;3729;3626;2798;422;1;2839;57.6680885638838
2022;10608;Pöttelsdorf;771;636;626;515;72;1;521;67.5745784695201
2022;10609;Pöttsching;3038;2431;2385;1891;356;1;1935;63.6932192231731
2022;10610;Rohrbach bei Mattersburg;2630;2170;2141;1769;342;4;1801;68.4790874524715
2022;10611;Bad Sauerbrunn;2278;1745;1701;1367;278;2;1374;60.316066725197494
2022;10612;Schattendorf;2405;1966;1941;1626;260;2;1649;68.56548856548861
2022;10613;Sieggraben;1267;999;984;806;113;3;814;64.2462509865825
2022;10614;Sigleß;1177;936;924;798;192;0;803;68.2242990654206
2022;10615;Wiesen;2801;2147;2114;1806;385;2;1828;65.2624062834702
2022;10616;Antau;796;633;622;489;67;0;490;61.557788944723605
2022;10617;Baumgarten;916;754;740;622;109;0;635;69.32314410480349
2022;10618;Zemendorf-Stöttera;1288;1061;1044;846;122;1;868;67.3913043478261
2022;10619;Krensdorf;638;488;479;389;82;0;399;62.539184952978104
2022;10701;Andau;2297;2001;1978;1709;325;1;1732;75.40269917283409
2022;10702;Apetlon;1766;1461;1446;1242;198;0;1271;71.9705549263873
2022;10703;Bruckneudorf;3070;2442;2398;1951;298;0;1995;64.9837133550488
2022;10704;Deutsch Jahrndorf;655;470;468;411;84;0;413;63.05343511450379
2022;10705;Frauenkirchen;2934;2365;2324;1938;286;2;1931;65.8145875937287
2022;10706;Gattendorf;1456;1087;1058;858;145;1;879;60.370879120879096
2022;10707;Gols;4014;3255;3191;2613;445;1;2631;65.5455904334828
2022;10708;Halbturn;1918;1611;1592;1357;246;2;1366;71.2200208550574
2022;10709;Illmitz;2372;2073;2035;1741;325;1;1792;75.5480607082631
2022;10710;Jois;1630;1297;1278;1019;156;0;1035;63.4969325153374
2022;10711;Kittsee;3578;2079;2018;1599;312;2;1633;45.6400223588597
2022;10712;Mönchhof;2191;1857;1822;1518;214;0;1553;70.8808763121862
2022;10713;Neusiedl am See;8807;6874;6734;5519;1042;10;5586;63.4268195753378
2022;10714;Nickelsdorf;1851;1426;1380;1137;238;0;1162;62.77687736358721
2022;10715;Pama;1263;900;884;720;147;2;752;59.5407759303246
2022;10716;Pamhagen;1531;1365;1343;1155;156;0;1175;76.7472240365774
2022;10717;Parndorf;5271;3577;3465;2633;384;2;2703;51.2805919180421
2022;10718;Podersdorf am See;2235;1858;1838;1584;301;1;1596;71.4093959731544
2022;10719;Sankt Andrä am Zicksee;1380;1166;1152;986;204;1;996;72.1739130434783
2022;10720;Tadten;1190;1026;1012;874;178;0;901;75.71428571428571
2022;10721;Wallern im Burgenland;1670;1443;1424;1233;264;2;1257;75.2694610778443
2022;10722;Weiden am See;2621;2059;2020;1685;357;1;1733;66.1198016024418
2022;10723;Winden am See;1417;1141;1127;898;125;1;909;64.1496118560339
2022;10724;Zurndorf;2279;1769;1745;1450;342;1;1491;65.4234313295305
2022;10725;Neudorf;768;547;531;442;66;1;454;59.1145833333333
2022;10726;Potzneusiedl;641;452;442;332;68;0;338;52.7301092043682
2022;10727;Edelstal;795;586;568;482;99;0;498;62.6415094339623
2022;10801;Deutschkreutz;3167;2696;2661;2339;483;0;2348;74.1395642563941
2022;10802;Draßmarkt;1370;1167;1140;918;116;0;917;66.9343065693431
2022;10803;Frankenau-Unterpullendorf;1074;900;885;772;187;0;773;71.97392923649909
2022;10804;Großwarasdorf;1355;1137;1120;920;237;0;938;69.2250922509225
2022;10805;Horitschon;1832;1552;1529;1288;255;0;1281;69.9235807860262
2022;10806;Kaisersdorf;595;479;470;368;67;0;385;64.7058823529412
2022;10807;Kobersdorf;1909;1601;1583;1294;227;0;1314;68.83184913567311
2022;10808;Lackenbach;1163;1000;985;820;233;0;815;70.0773860705073
2022;10809;Lockenhaus;2061;1622;1598;1277;240;0;1275;61.863173216885
2022;10810;Lutzmannsburg;832;687;680;601;116;0;603;72.4759615384615
2022;10811;Mannersdorf an der Rabnitz;1753;1450;1417;1161;227;2;1153;65.7729606389047
2022;10812;Markt Sankt Martin;1264;1017;998;810;181;1;838;66.29746835443039
2022;10813;Neckenmarkt;1664;1393;1374;1178;192;0;1188;71.39423076923079
2022;10814;Neutal;1133;958;936;757;164;3;786;69.37334510150039
2022;10815;Nikitsch;1432;1202;1192;1026;264;2;1010;70.5307262569832
2022;10816;Oberpullendorf;3296;2675;2620;2143;469;2;2147;65.1395631067961
2022;10817;Pilgersdorf;1594;1352;1336;1069;104;1;1088;68.2559598494354
2022;10818;Piringsdorf;833;704;684;534;85;0;550;66.0264105642257
2022;10819;Raiding;897;765;761;653;225;2;641;71.4604236343367
2022;10820;Ritzing;927;789;786;706;181;0;710;76.5911542610572
2022;10821;Steinberg-Dörfl;1295;1066;1049;846;199;0;858;66.2548262548263
2022;10822;Stoob;1352;1166;1141;921;163;0;945;69.896449704142
2022;10823;Weppersdorf;1854;1477;1444;1155;224;0;1182;63.7540453074434
2022;10824;Lackendorf;595;475;466;383;69;1;384;64.53781512605039
2022;10825;Unterfrauenhaid;664;557;546;447;97;1;458;68.97590361445779
2022;10826;Unterrabnitz-Schwendgraben;633;515;508;421;47;1;426;67.2985781990521
2022;10827;Weingraben;367;301;297;245;43;0;249;67.8474114441417
2022;10828;Oberloisdorf;805;661;655;544;110;1;546;67.8260869565217
2022;10901;Bad Tatzmannsdorf;1666;1330;1302;1100;282;1;1122;67.34693877551021
2022;10902;Bernstein;2137;1771;1752;1482;375;1;1529;71.548900327562
2022;10903;Deutsch Schützen-Eisenberg;1070;929;918;807;276;1;823;76.9158878504673
2022;10904;Grafenschachen;1234;972;941;691;64;0;715;57.9416531604538
2022;10905;Großpetersdorf;3581;3001;2960;2380;460;2;2424;67.690589220888
2022;10906;Hannersdorf;741;636;612;501;103;0;509;68.6909581646424
2022;10907;Kemeten;1549;1163;1136;897;179;0;936;60.4260813428018
2022;10908;Kohfidisch;1459;1209;1186;975;203;3;1002;68.6771761480466
2022;10909;Litzelsdorf;1150;897;880;710;114;0;724;62.9565217391304
2022;10910;Loipersdorf-Kitzladen;1348;1054;1024;802;64;0;832;61.7210682492582
2022;10911;Mariasdorf;1150;946;932;775;157;1;802;69.7391304347826
2022;10912;Markt Allhau;1917;1484;1446;1143;185;0;1172;61.1371935315597
2022;10913;Markt Neuhodis;659;568;562;469;149;0;472;71.6236722306525
2022;10914;Mischendorf;1500;1341;1317;1102;209;0;1123;74.8666666666667
2022;10915;Oberdorf im Burgenland;1007;806;785;633;90;2;648;64.3495531281033
2022;10916;Oberschützen;2459;1944;1908;1546;335;5;1563;63.5624237494917
2022;10917;Oberwart;7916;6113;5942;4779;1098;4;4869;61.5083375442143
2022;10918;Pinkafeld;5975;4722;4608;3592;773;4;3614;60.4853556485356
2022;10919;Rechnitz;3022;2500;2475;2062;492;3;2041;67.5380542686962
2022;10920;Riedlingsdorf;1642;1322;1300;1061;167;1;1074;65.4080389768575
2022;10921;Rotenturm an der Pinka;1471;1226;1206;1019;206;3;1042;70.8361658735554
2022;10922;Schachendorf;756;567;553;446;122;1;460;60.84656084656079
2022;10923;Stadtschlaining;1966;1637;1619;1391;324;1;1406;71.5157680569685
2022;10924;Unterkohlstätten;974;855;847;719;144;0;723;74.22997946611909
2022;10925;Unterwart;977;748;731;596;101;0;605;61.924257932446295
2022;10926;Weiden bei Rechnitz;812;697;684;591;159;1;598;73.6453201970443
2022;10927;Wiesfleck;1180;904;880;674;63;0;691;58.5593220338983
2022;10928;Wolfau;1490;1134;1098;828;113;1;865;58.0536912751678
2022;10929;Neustift an der Lafnitz;802;592;579;442;34;0;458;57.107231920199496
2022;10930;Jabing;747;650;637;532;96;1;538;72.02141900937079
2022;10931;Badersdorf;284;246;244;200;47;0;205;72.1830985915493
2022;10932;Schandorf;273;216;210;164;50;0;168;61.538461538461505
2022;20101;Klagenfurt am Wörthersee;103653;76539;74333;58170;9272;68;59708;57.6037355406983
2022;20201;Villach;64634;45869;44429;33753;4969;49;34527;53.419253024723794
2022;20302;Dellach;1195;867;836;639;88;0;658;55.062761506276104
2022;20305;Hermagor-Pressegger See;6946;5294;5146;4049;692;8;4224;60.8119781169018
2022;20306;Kirchbach;2506;1913;1853;1423;215;2;1461;58.3000798084597
