date;municipality_id;municipality_name;municipality_population;vaccination_1;vaccination_2;vaccination_3;vaccination_4+
2024-01-01T23:59:59+01:00;10101;Eisenstadt;15924;12095;11851;9740;3639
2024-01-01T23:59:59+01:00;10201;Rust;1978;1595;1572;1329;500
2024-01-01T23:59:59+01:00;10301;Breitenbrunn am Neusiedler See;1921;1517;1493;1285;569
2024-01-01T23:59:59+01:00;10302;Donnerskirchen;1857;1525;1505;1295;489
2024-01-01T23:59:59+01:00;10303;Großhöflein;2085;1739;1711;1411;433
2024-01-01T23:59:59+01:00;10304;Hornstein;3267;2553;2508;2111;782
2024-01-01T23:59:59+01:00;10305;Klingenbach;1267;895;875;730;237
2024-01-01T23:59:59+01:00;10306;Leithaprodersdorf;1230;1063;1047;878;269
2024-01-01T23:59:59+01:00;10307;Mörbisch am See;2220;1851;1826;1541;716
2024-01-01T23:59:59+01:00;10308;Müllendorf;1471;1187;1172;965;375
2024-01-01T23:59:59+01:00;10309;Neufeld an der Leitha;3646;2793;2738;2244;766
2024-01-01T23:59:59+01:00;10310;Oggau am Neusiedler See;1704;1460;1449;1257;549
2024-01-01T23:59:59+01:00;10311;Oslip;1285;1078;1071;919;344
2024-01-01T23:59:59+01:00;10312;Purbach am Neusiedler See;3009;2448;2403;2029;730
2024-01-01T23:59:59+01:00;10313;Sankt Margarethen im Burgenland;2708;2221;2190;1899;728
2024-01-01T23:59:59+01:00;10314;Schützen am Gebirge;1461;1189;1170;972;374
2024-01-01T23:59:59+01:00;10315;Siegendorf;3268;2499;2454;2021;669
2024-01-01T23:59:59+01:00;10316;Steinbrunn;3058;2353;2316;1880;670
2024-01-01T23:59:59+01:00;10317;Trausdorf an der Wulka;2155;1803;1777;1512;514
2024-01-01T23:59:59+01:00;10318;Wimpassing an der Leitha;1739;1255;1233;1005;294
2024-01-01T23:59:59+01:00;10319;Wulkaprodersdorf;1949;1528;1500;1215;401
2024-01-01T23:59:59+01:00;10320;Loretto;520;402;391;325;124
2024-01-01T23:59:59+01:00;10321;Stotzing;831;646;636;526;163
2024-01-01T23:59:59+01:00;10322;Zillingtal;1016;794;787;678;228
2024-01-01T23:59:59+01:00;10323;Zagersdorf;1133;917;902;758;238
2024-01-01T23:59:59+01:00;10401;Bocksdorf;812;650;635;533;137
2024-01-01T23:59:59+01:00;10402;Burgauberg-Neudauberg;1456;985;964;776;262
2024-01-01T23:59:59+01:00;10403;Eberau;916;722;711;622;300
2024-01-01T23:59:59+01:00;10404;Gerersdorf-Sulz;1025;829;822;689;266
2024-01-01T23:59:59+01:00;10405;Güssing;3602;2827;2786;2408;1086
2024-01-01T23:59:59+01:00;10406;Güttenbach;869;737;733;639;290
2024-01-01T23:59:59+01:00;10407;Heiligenbrunn;729;588;584;510;197
2024-01-01T23:59:59+01:00;10408;Kukmirn;2006;1486;1432;1199;400
2024-01-01T23:59:59+01:00;10409;Neuberg im Burgenland;950;749;738;606;212
2024-01-01T23:59:59+01:00;10410;Neustift bei Güssing;438;351;349;305;125
2024-01-01T23:59:59+01:00;10411;Olbendorf;1485;1106;1080;878;296
2024-01-01T23:59:59+01:00;10412;Ollersdorf im Burgenland;955;745;729;586;209
2024-01-01T23:59:59+01:00;10413;Sankt Michael im Burgenland;1030;770;760;639;216
2024-01-01T23:59:59+01:00;10414;Stegersbach;2765;2054;2006;1646;516
2024-01-01T23:59:59+01:00;10415;Stinatz;1252;972;955;782;319
2024-01-01T23:59:59+01:00;10416;Strem;916;739;729;624;267
2024-01-01T23:59:59+01:00;10417;Tobaj;1400;1071;1056;905;318
2024-01-01T23:59:59+01:00;10418;Hackerberg;377;286;279;230;79
2024-01-01T23:59:59+01:00;10419;Wörterberg;532;353;348;269;103
2024-01-01T23:59:59+01:00;10420;Großmürbisch;232;194;193;169;76
2024-01-01T23:59:59+01:00;10421;Inzenhof;327;248;245;208;65
2024-01-01T23:59:59+01:00;10422;Kleinmürbisch;228;196;194;168;54
2024-01-01T23:59:59+01:00;10423;Tschanigraben;67;56;54;52;15
2024-01-01T23:59:59+01:00;10424;Heugraben;226;188;183;157;29
2024-01-01T23:59:59+01:00;10425;Rohr im Burgenland;366;307;304;263;77
2024-01-01T23:59:59+01:00;10426;Bildein;344;267;264;223;94
2024-01-01T23:59:59+01:00;10427;Rauchwart;474;365;357;282;91
2024-01-01T23:59:59+01:00;10428;Moschendorf;378;294;288;254;109
2024-01-01T23:59:59+01:00;10501;Deutsch Kaltenbrunn;1731;1280;1255;1052;341
2024-01-01T23:59:59+01:00;10502;Eltendorf;911;693;681;557;175
2024-01-01T23:59:59+01:00;10503;Heiligenkreuz im Lafnitztal;1287;937;924;754;245
2024-01-01T23:59:59+01:00;10504;Jennersdorf;4173;3080;3019;2517;783
2024-01-01T23:59:59+01:00;10505;Minihof-Liebau;1048;822;795;633;221
2024-01-01T23:59:59+01:00;10506;Mogersdorf;1174;864;845;680;202
2024-01-01T23:59:59+01:00;10507;Neuhaus am Klausenbach;909;651;643;541;165
2024-01-01T23:59:59+01:00;10508;Rudersdorf;2210;1698;1666;1358;472
2024-01-01T23:59:59+01:00;10509;Sankt Martin an der Raab;1964;1508;1483;1257;381
2024-01-01T23:59:59+01:00;10510;Weichselbaum;707;545;537;436;109
2024-01-01T23:59:59+01:00;10511;Königsdorf;778;597;581;479;151
2024-01-01T23:59:59+01:00;10512;Mühlgraben;385;322;317;254;55
2024-01-01T23:59:59+01:00;10601;Draßburg;1228;954;938;809;291
2024-01-01T23:59:59+01:00;10602;Forchtenstein;2775;2150;2108;1775;569
2024-01-01T23:59:59+01:00;10603;Hirm;1093;835;821;642;205
2024-01-01T23:59:59+01:00;10604;Loipersbach im Burgenland;1229;891;873;708;216
2024-01-01T23:59:59+01:00;10605;Marz;2097;1653;1620;1347;456
2024-01-01T23:59:59+01:00;10606;Mattersburg;7533;5831;5715;4569;1488
2024-01-01T23:59:59+01:00;10607;Neudörfl;4949;3621;3523;2766;842
2024-01-01T23:59:59+01:00;10608;Pöttelsdorf;768;610;601;500;159
2024-01-01T23:59:59+01:00;10609;Pöttsching;3088;2439;2389;1926;662
2024-01-01T23:59:59+01:00;10610;Rohrbach bei Mattersburg;2625;2104;2077;1729;564
2024-01-01T23:59:59+01:00;10611;Bad Sauerbrunn;2355;1745;1699;1377;482
2024-01-01T23:59:59+01:00;10612;Schattendorf;2404;1905;1883;1591;483
2024-01-01T23:59:59+01:00;10613;Sieggraben;1264;972;956;781;227
2024-01-01T23:59:59+01:00;10614;Sigleß;1177;928;919;799;337
2024-01-01T23:59:59+01:00;10615;Wiesen;2760;2094;2063;1773;598
2024-01-01T23:59:59+01:00;10616;Antau;820;636;623;487;132
2024-01-01T23:59:59+01:00;10617;Baumgarten;923;748;737;619;208
2024-01-01T23:59:59+01:00;10618;Zemendorf-Stöttera;1288;1036;1019;834;261
2024-01-01T23:59:59+01:00;10619;Krensdorf;625;464;457;375;128
2024-01-01T23:59:59+01:00;10701;Andau;2290;1957;1932;1690;696
2024-01-01T23:59:59+01:00;10702;Apetlon;1739;1431;1413;1229;391
2024-01-01T23:59:59+01:00;10703;Bruckneudorf;3065;2402;2355;1933;609
2024-01-01T23:59:59+01:00;10704;Deutsch Jahrndorf;647;456;455;399;152
2024-01-01T23:59:59+01:00;10705;Frauenkirchen;2952;2309;2275;1921;646
2024-01-01T23:59:59+01:00;10706;Gattendorf;1500;1099;1068;863;296
