Datum;BundeslandID;Name;Testungen;TestungenPCR;TestungenAntigen;Fälle
2021;1;Burgenland;638575;155435;483140;17797
2021;2;Kärnten;675557;217933;457624;18828
2021;3;Niederösterreich;3400756;1141984;2258772;94781
2021;4;Oberösterreich;2162517;546777;1615740;60271
2021;5;Salzburg;823353;274598;548755;22947
2021;6;Steiermark;1758065;503274;1254791;48998
2021;7;Tirol;1521757;579890;941867;42412
2021;8;Vorarlberg;825612;298572;527040;23010
2021;9;Wien;3197153;1677203;1519950;89107
2021;10;Österreich;15003345;5395666;9607679;418152
2021;1;Burgenland;645941;155933;490008;18003
2021;2;Kärnten;704089;219190;484899;19623
2021;3;Niederösterreich;3471229;1147138;2324091;96745
2021;4;Oberösterreich;2241062;548394;1692668;62460
2021;5;Salzburg;847370;275923;571447;23617
2021;6;Steiermark;1801508;505525;1295983;50209
2021;7;Tirol;1539898;583765;956133;42918
2021;8;Vorarlberg;842170;299159;543011;23472
2021;9;Wien;3264872;1721257;1543615;90994
2021;10;Österreich;15358139;5456284;9901855;428040
2021;1;Burgenland;656824;156596;500228;18306
2021;2;Kärnten;708065;220503;487562;19734
2021;3;Niederösterreich;3525810;1153997;2371813;98266
2021;4;Oberösterreich;2276421;550375;1726046;63445
2021;5;Salzburg;859248;277381;581867;23948
2021;6;Steiermark;1852502;508297;1344205;51630
2021;7;Tirol;1552380;588092;964288;43266
2021;8;Vorarlberg;855489;300574;554915;23843
2021;9;Wien;3316131;1751657;1564474;92423
2021;10;Österreich;15602870;5507472;10095398;434861
2021;1;Burgenland;665306;157400;507906;18542
2021;2;Kärnten;709254;221614;487640;19767
2021;3;Niederösterreich;3580743;1164883;2415860;99797
2021;4;Oberösterreich;2332134;552588;1779546;64998
2021;5;Salzburg;871522;278819;592703;24290
2021;6;Steiermark;1899187;509514;1389673;52931
2021;7;Tirol;1569811;591254;978557;43752
2021;8;Vorarlberg;868793;301846;566947;24214
2021;9;Wien;3367370;1779673;1587697;93851
2021;10;Österreich;15864120;5557591;10306529;442142
2021;1;Burgenland;677110;158537;518573;18871
2021;2;Kärnten;710375;222676;487699;19799
2021;3;Niederösterreich;3631722;1175337;2456385;101218
2021;4;Oberösterreich;2368282;554878;1813404;66005
2021;5;Salzburg;914767;280410;634357;25495
2021;6;Steiermark;1929023;512435;1416588;53763
2021;7;Tirol;1587729;594508;993221;44251
2021;8;Vorarlberg;882629;302984;579645;24599
2021;9;Wien;3421978;1808879;1613099;95373
2021;10;Österreich;16123615;5610644;10512971;449375
2021;1;Burgenland;692887;159511;533376;19311
2021;2;Kärnten;711306;223558;487748;19825
2021;3;Niederösterreich;3693241;1186373;2506868;102933
2021;4;Oberösterreich;2407310;556843;1850467;67093
2021;5;Salzburg;931315;281493;649822;25956
2021;6;Steiermark;1966099;517914;1448185;54796
2021;7;Tirol;1604167;597648;1006519;44709
2021;8;Vorarlberg;896689;304480;592209;24991
2021;9;Wien;3471274;1829876;1641398;96746
2021;10;Österreich;16374288;5657696;10716592;456361
2021;1;Burgenland;694733;160380;534353;19363
2021;2;Kärnten;711909;224122;487787;19841
2021;3;Niederösterreich;3738592;1195621;2542971;104197
2021;4;Oberösterreich;2428659;558448;1870211;67688
2021;5;Salzburg;939879;282427;657452;26195
2021;6;Steiermark;1993544;520159;1473385;55561
2021;7;Tirol;1619308;599943;1019365;45131
2021;8;Vorarlberg;904537;305649;598888;25210
2021;9;Wien;3501971;1836430;1665541;97602
2021;10;Österreich;16533132;5683179;10849953;460788
2021;1;Burgenland;705722;160835;544887;19669
2021;2;Kärnten;713785;225967;487818;19894
2021;3;Niederösterreich;3765805;1203769;2562036;104955
2021;4;Oberösterreich;2452634;560051;1892583;68356
2021;5;Salzburg;947009;283512;663497;26394
2021;6;Steiermark;1996501;523116;1473385;55644
2021;7;Tirol;1633325;602260;1031065;45522
2021;8;Vorarlberg;911122;306153;604969;25394
2021;9;Wien;3529309;1842699;1686610;98364
2021;10;Österreich;16655212;5708362;10946850;464191
2021;1;Burgenland;716398;161608;554790;19966
2021;2;Kärnten;763750;227722;536028;21286
2021;3;Niederösterreich;3824765;1209202;2615563;106598
2021;4;Oberösterreich;2517626;562396;1955230;70168
2021;5;Salzburg;982741;284782;697959;27390
2021;6;Steiermark;2066437;526879;1539558;57593
2021;7;Tirol;1645194;605377;1039817;45853
2021;8;Vorarlberg;926254;306739;619515;25815
2021;9;Wien;3607954;1893903;1714051;100556
2021;10;Österreich;17051119;5778608;11272511;475225
2021;1;Burgenland;725692;162864;562828;20225
2021;2;Kärnten;780153;228854;551299;21743
2021;3;Niederösterreich;3885068;1214172;2670896;108279
2021;4;Oberösterreich;2560979;564876;1996103;71376
2021;5;Salzburg;1001876;286638;715238;27923
2021;6;Steiermark;2117895;529564;1588331;59027
2021;7;Tirol;1656543;608527;1048016;46169
2021;8;Vorarlberg;940650;308199;632451;26216
2021;9;Wien;3660447;1924329;1736118;102019
2021;10;Österreich;17329303;5828023;11501280;482978
2021;1;Burgenland;735955;163979;571976;20512
2021;2;Kärnten;780828;229447;551381;21762
2021;3;Niederösterreich;3930268;1226953;2703315;109539
2021;4;Oberösterreich;2617695;567105;2050590;72957
2021;5;Salzburg;1023271;288373;734898;28519
2021;6;Steiermark;2145853;532499;1613354;59806
2021;7;Tirol;1669705;612427;1057278;46536
2021;8;Vorarlberg;953849;309421;644428;26584
2021;9;Wien;3691533;1948622;1742911;102885
2021;10;Österreich;17548957;5878826;11670131;489100
2021;1;Burgenland;745729;164996;580733;20784
2021;2;Kärnten;782016;230545;551471;21795
2021;3;Niederösterreich;4004202;1237497;2766705;111599
2021;4;Oberösterreich;2658827;569777;2089050;74103
2021;5;Salzburg;1042456;289875;752581;29054
2021;6;Steiermark;2174570;533535;1641035;60607
2021;7;Tirol;1762040;616766;1145274;49109
2021;8;Vorarlberg;968333;310843;657490;26988
2021;9;Wien;3768674;1982707;1785967;105035
2021;10;Österreich;17906847;5936541;11970306;499074
2021;1;Burgenland;765111;165863;599248;21324
2021;2;Kärnten;783011;231450;551561;21823
2021;3;Niederösterreich;4079284;1250051;2829233;113692
2021;4;Oberösterreich;2699892;572111;2127781;75248
2021;5;Salzburg;1065238;291240;773998;29689
2021;6;Steiermark;2215308;539493;1675815;61742
2021;7;Tirol;1780612;620933;1159679;49627
2021;8;Vorarlberg;982335;312309;670026;27378
2021;9;Wien;3807817;1994653;1813164;106126
2021;10;Österreich;18178608;5978103;12200505;506649
2021;1;Burgenland;772126;166899;605227;21520
2021;2;Kärnten;783426;231848;551578;21835
2021;3;Niederösterreich;4130698;1259580;2871118;115125
2021;4;Oberösterreich;2722516;574282;2148234;75878
2021;5;Salzburg;1075448;292294;783154;29973
2021;6;Steiermark;2243171;541719;1701452;62518
2021;7;Tirol;1794959;624658;1170301;50027
2021;8;Vorarlberg;990424;313553;676871;27604
2021;9;Wien;3833275;1999834;1833441;106836
2021;10;Österreich;18346043;6004667;12341376;511315
2021;1;Burgenland;778154;167469;610685;21688
2021;2;Kärnten;785396;233795;551601;21889
2021;3;Niederösterreich;4167187;1267556;2899631;116142
2021;4;Oberösterreich;2749652;576547;2173105;76634
2021;5;Salzburg;1077012;293760;783252;30017
2021;6;Steiermark;2247450;545998;1701452;62638
2021;7;Tirol;1811508;629138;1182370;50488
2021;8;Vorarlberg;998950;314260;684690;27841
2021;9;Wien;3869837;2005304;1864533;107855
2021;10;Österreich;18485146;6033827;12451319;515192
2021;1;Burgenland;790271;168495;621776;22025
2021;2;Kärnten;786786;235099;551687;21928
2021;3;Niederösterreich;4239419;1273437;2965982;118155
2021;4;Oberösterreich;2819376;578865;2240511;78578
2021;5;Salzburg;1102571;295314;807257;30729
2021;6;Steiermark;2345419;549514;1795905;65368
2021;7;Tirol;1826809;634117;1192692;50914
2021;8;Vorarlberg;1015789;314912;700877;28311
2021;9;Wien;3914427;2023848;1890579;109097
2021;10;Österreich;18840867;6073601;12767266;525106
2021;1;Burgenland;799358;169159;630199;22279
2021;2;Kärnten;870998;236238;634760;24275
2021;3;Niederösterreich;4307909;1280082;3027827;120064
2021;4;Oberösterreich;2851427;580588;2270839;79471
2021;5;Salzburg;1122193;297447;824746;31276
2021;6;Steiermark;2396525;551159;1845366;66793
2021;7;Tirol;1937323;640101;1297222;53994
2021;8;Vorarlberg;1033799;316342;717457;28813
2021;9;Wien;3957995;2045013;1912982;110312
2021;10;Österreich;19277527;6116129;13161398;537276
2021;1;Burgenland;809593;170019;639574;22564
2021;2;Kärnten;871799;237039;634760;24298
2021;3;Niederösterreich;4377441;1289028;3088413;122002
2021;4;Oberösterreich;2927953;583231;2344722;81604
2021;5;Salzburg;1142497;299314;843183;31842
2021;6;Steiermark;2426106;553683;1872423;67617
2021;7;Tirol;1953024;644858;1308166;54432
2021;8;Vorarlberg;1064740;331334;733406;29675
2021;9;Wien;4002957;2064415;1938542;111565
2021;10;Österreich;19576110;6172921;13403189;545598
2021;1;Burgenland;823041;170684;652357;22939
2021;2;Kärnten;872716;237799;634917;24323
2021;3;Niederösterreich;4452446;1303447;3148999;124092
2021;4;Oberösterreich;2958465;586089;2372376;82454
2021;5;Salzburg;1161332;300917;860415;32367
2021;6;Steiermark;2459841;558554;1901287;68557
2021;7;Tirol;1969077;649901;1319176;54879
2021;8;Vorarlberg;1098690;346817;751873;30621
2021;9;Wien;4049950;2084547;1965403;112874
2021;10;Österreich;19845558;6238755;13606803;553107
2021;1;Burgenland;835606;171866;663740;23289
2021;2;Kärnten;873766;238734;635032;24352
2021;3;Niederösterreich;4526483;1314724;3211759;126156
2021;4;Oberösterreich;2991505;588202;2403303;83375
2021;5;Salzburg;1184231;302701;881530;33005
2021;6;Steiermark;2493346;560759;1932587;69491
2021;7;Tirol;1986242;654513;1331729;55358
2021;8;Vorarlberg;1141970;363835;778135;31827
2021;9;Wien;4090443;2094724;1995719;114003
2021;10;Österreich;20123592;6290058;13833534;560856
2021;1;Burgenland;842503;173335;669168;23481
2021;2;Kärnten;874442;239351;635091;24371
2021;3;Niederösterreich;4579366;1326016;3253350;127630
2021;4;Oberösterreich;3014683;590380;2424303;84021
2021;5;Salzburg;1194163;303841;890322;33282
2021;6;Steiermark;2519857;562317;1957540;70230
2021;7;Tirol;1990374;658645;1331729;55473
2021;8;Vorarlberg;1182027;388614;793413;32944
2021;9;Wien;4119141;2099208;2019933;114803
2021;10;Österreich;20316556;6341707;13974849;566234
2021;1;Burgenland;849033;173957;675076;23663
2021;2;Kärnten;876391;241262;635129;24426
2021;3;Niederösterreich;4617906;1334355;3283551;128704
2021;4;Oberösterreich;3040358;591821;2448537;84737
2021;5;Salzburg;1195805;305136;890669;33328
2021;6;Steiermark;2521739;564199;1957540;70282
2021;7;Tirol;2019901;664006;1355895;56296
2021;8;Vorarlberg;1205686;404002;801684;33603
2021;9;Wien;4149666;2103661;2046005;115654
2021;10;Österreich;20476485;6382399;14094086;570692
2021;1;Burgenland;861558;174679;686879;24012
2021;2;Kärnten;929695;242218;687477;25911
2021;3;Niederösterreich;4694800;1339132;3355668;130847
2021;4;Oberösterreich;3088116;594780;2493336;86068
2021;5;Salzburg;1232030;306604;925426;34337
2021;6;Steiermark;2572266;568895;2003371;71691
2021;7;Tirol;2036946;670212;1366734;56771
2021;8;Vorarlberg;1234614;412368;822246;34409
2021;9;Wien;4196267;2122678;2073589;116952
2021;10;Österreich;20846292;6431566;14414726;580998
2021;1;Burgenland;872896;176121;696775;24328
2021;2;Kärnten;931134;243164;687970;25951
2021;3;Niederösterreich;4767494;1345120;3422374;132873
2021;4;Oberösterreich;3129752;598002;2531750;87228
2021;5;Salzburg;1252911;308780;944131;34919
2021;6;Steiermark;2625970;571728;2054242;73187
2021;7;Tirol;2053643;676228;1377415;57236
2021;8;Vorarlberg;1273158;431299;841859;35484
2021;9;Wien;4240176;2142874;2097302;118176
2021;10;Österreich;21147134;6493316;14653818;589383
2021;1;Burgenland;884164;177254;706910;24642
2021;2;Kärnten;932192;244147;688045;25981
2021;3;Niederösterreich;4855242;1358212;3497030;135318
2021;4;Oberösterreich;3184428;600979;2583449;88752
2021;5;Salzburg;1274885;311110;963775;35532
2021;6;Steiermark;2657562;575061;2082501;74068
2021;7;Tirol;2178261;681990;1496271;60709
2021;8;Vorarlberg;1313899;448492;865407;36619
2021;9;Wien;4284829;2171309;2113520;119421
2021;10;Österreich;21565462;6568554;14996908;601042
2021;1;Burgenland;899869;178434;721435;25080
2021;2;Kärnten;933153;245108;688045;26008
2021;3;Niederösterreich;4935497;1369259;3566238;137555
2021;4;Oberösterreich;3218056;604271;2613785;89689
2021;5;Salzburg;1295737;312885;982852;36113
2021;6;Steiermark;2663502;578496;2085006;74233
2021;7;Tirol;2194887;687087;1507800;61173
2021;8;Vorarlberg;1337430;472023;865407;37275
2021;9;Wien;4572963;2109209;2463754;127451
2021;10;Österreich;22051094;6556772;15494322;614577
2021;1;Burgenland;917549;179517;738032;25573
2021;2;Kärnten;934164;246030;688134;26036
2021;3;Niederösterreich;5025191;1381885;3643306;140055
2021;4;Oberösterreich;3252545;606881;2645664;90650
2021;5;Salzburg;1320211;314792;1005419;36795
2021;6;Steiermark;2698663;580529;2118134;75213
2021;7;Tirol;2211937;691486;1520451;61648
2021;8;Vorarlberg;1196919;195074;1001845;33359
2021;9;Wien;4637257;2137532;2499725;129243
2021;10;Österreich;22194436;6333726;15860710;618572
2021;1;Burgenland;927611;180786;746825;25853
2021;2;Kärnten;934873;246684;688189;26055
2021;3;Niederösterreich;5086477;1388767;3697710;141763
2021;4;Oberösterreich;3276807;609524;2667283;91327
2021;5;Salzburg;1331590;315978;1015612;37112
2021;6;Steiermark;2755439;582924;2172515;76796
2021;7;Tirol;2229212;696416;1532796;62129
2021;8;Vorarlberg;1218096;195695;1022401;33949
2021;9;Wien;4695367;2166958;2528409;130863
2021;10;Österreich;22455472;6383732;16071740;625847
2021;1;Burgenland;934721;181467;753254;26051
2021;2;Kärnten;936879;248648;688231;26111
2021;3;Niederösterreich;5124040;1396330;3727710;142810
2021;4;Oberösterreich;3301345;611519;2689826;92010
2021;5;Salzburg;1333746;317540;1016206;37172
2021;6;Steiermark;2758920;586405;2172515;76893
2021;7;Tirol;2247085;700979;1546106;62628
2021;8;Vorarlberg;1231825;196321;1035504;34332
2021;9;Wien;4741699;2182556;2559143;132154
2021;10;Österreich;22610260;6421765;16188495;630161
2021;1;Burgenland;949104;182242;766862;26452
2021;2;Kärnten;972454;249536;722918;27103
2021;3;Niederösterreich;5245241;1406001;3839240;146188
2021;4;Oberösterreich;3330249;614299;2715950;92816
2021;5;Salzburg;1368198;318944;1049254;38132
2021;6;Steiermark;2805617;589669;2215948;78194
2021;7;Tirol;2357712;706629;1651083;65711
2021;8;Vorarlberg;1260864;196870;1063994;35141
2021;9;Wien;4803867;2210079;2593788;133887
2021;10;Österreich;23093306;6474269;16619037;643624
2021;1;Burgenland;961060;183395;777665;26785
2021;2;Kärnten;990186;250521;739665;27597
2021;3;Niederösterreich;5335669;1414134;3921535;148708
2021;4;Oberösterreich;3367362;616943;2750419;93850
